IdMensaje,Mensaje,Likes,IdUsuario,Nick,Followers
4,"Curabitur convallis,46580,3,Katherine,81547
5,"Cum sociis natoque ,51,3,Katherine,81547
25,"In blandit ultrices,25208,17,Sandra,74600
24,"Praesent lectus. Ve,0,17,Sandra,74600
29,"Quisque id justo si,0,20,Paula,49650
17,"Nulla tempus. Vivam,7428,12,Phillip,24876
18,"In eleifend quam a ,334,12,Phillip,24876
15,"Nullam porttitor la,1552,10,Justin,20739
14,"Duis aliquam conval,46,10,Justin,20739
20,"Donec posuere metus,4,14,Terry,8423
6,"Aliquam augue quam,,3161,4,Debra,6840
19,"Nullam orci pede, v,238,13,Emily,2704
3,"Nullam orci pede, v,3450,2,Larry,767
26,"Nullam sit amet tur,29,18,Jesse,742
21,"Mauris enim leo, rh,5066,15,Keith,515
22,"Pellentesque eget n,1564,15,Keith,515
2,"Nam congue, risus s,94946,1,Janet,511
1,"Morbi non quam nec ,8996,1,Janet,511
27,"Morbi quis tortor i,299,1,Janet,511
30,"Donec dapibus. Duis,8,1,Janet,511
13,"Nulla nisl. Nunc ni,1,9,Stephen,396
12,"Proin risus. Praese,2947,8,Jane,261
11,"Duis mattis egestas,327,8,Jane,261
9,"In est risus, aucto,80,6,Eric,121
16,"Lorem ipsum dolor s,25,11,Christopher,83
28,"Fusce congue, diam ,7,19,Russell,77
8,"In quis justo. Maec,38,5,Kathleen,54
7,"Vestibulum ac est l,8,5,Kathleen,54
23,"Proin eu mi. Nulla ,321,16,Emily,53
10,"Aenean lectus. Pell,94582,7,Robert,21
